# z         nHI/nH      nHeI/nH      nHeII/nH      T_0(K)
0.072511 1.680020e-06 9.613311e-10 1.968758e-04 4.345530e+03
0.071482 1.684726e-06 9.667828e-10 1.972642e-04 4.340952e+03
0.070454 1.689444e-06 9.722642e-10 1.976534e-04 4.336376e+03
0.069427 1.694175e-06 9.777756e-10 1.980432e-04 4.331803e+03
0.068402 1.698916e-06 9.833152e-10 1.984336e-04 4.327238e+03
0.067379 1.703669e-06 9.888852e-10 1.988247e-04 4.322676e+03
0.066357 1.708433e-06 9.944836e-10 1.992164e-04 4.318122e+03
0.065336 1.713311e-06 1.000097e-09 1.996029e-04 4.313571e+03
0.064316 1.718212e-06 1.005740e-09 1.999896e-04 4.309022e+03
0.063298 1.723125e-06 1.011412e-09 2.003768e-04 4.304482e+03
0.062282 1.728050e-06 1.017115e-09 2.007647e-04 4.299944e+03
0.061267 1.732987e-06 1.022846e-09 2.011531e-04 4.295415e+03
0.060253 1.737937e-06 1.028609e-09 2.015422e-04 4.290888e+03
0.059241 1.742901e-06 1.034403e-09 2.019321e-04 4.286364e+03
0.058230 1.747875e-06 1.040227e-09 2.023225e-04 4.281847e+03
0.057220 1.752864e-06 1.046082e-09 2.027136e-04 4.277334e+03
0.056212 1.757884e-06 1.051973e-09 2.031047e-04 4.272828e+03
0.055205 1.763000e-06 1.057919e-09 2.034948e-04 4.268325e+03
0.054200 1.768128e-06 1.063895e-09 2.038854e-04 4.263831e+03
0.053195 1.773270e-06 1.069904e-09 2.042767e-04 4.259338e+03
0.052193 1.778426e-06 1.075946e-09 2.046687e-04 4.254848e+03
0.051191 1.783594e-06 1.082018e-09 2.050613e-04 4.250366e+03
0.050192 1.788776e-06 1.088124e-09 2.054546e-04 4.245887e+03
0.049193 1.793971e-06 1.094261e-09 2.058484e-04 4.241416e+03
0.048196 1.799180e-06 1.100431e-09 2.062429e-04 4.236947e+03
0.047200 1.804403e-06 1.106635e-09 2.066382e-04 4.232480e+03
0.046205 1.809681e-06 1.112884e-09 2.070327e-04 4.228022e+03
0.045212 1.815017e-06 1.119179e-09 2.074266e-04 4.223566e+03
0.044220 1.820366e-06 1.125507e-09 2.078211e-04 4.219118e+03
0.043230 1.825730e-06 1.131870e-09 2.082163e-04 4.214672e+03
0.042241 1.831107e-06 1.138265e-09 2.086120e-04 4.210234e+03
0.041253 1.836499e-06 1.144695e-09 2.090084e-04 4.205799e+03
0.040266 1.841906e-06 1.151161e-09 2.094055e-04 4.201365e+03
0.039281 1.847326e-06 1.157660e-09 2.098032e-04 4.196940e+03
0.038298 1.852761e-06 1.164194e-09 2.102017e-04 4.192517e+03
0.037315 1.858209e-06 1.170762e-09 2.106006e-04 4.188102e+03
0.036334 1.863663e-06 1.177265e-09 2.109908e-04 4.183690e+03
0.035354 1.869129e-06 1.183774e-09 2.113790e-04 4.179279e+03
0.034376 1.874608e-06 1.190315e-09 2.117677e-04 4.174876e+03
0.033398 1.880103e-06 1.196892e-09 2.121571e-04 4.170476e+03
0.032422 1.885611e-06 1.203502e-09 2.125470e-04 4.166083e+03
0.031448 1.891134e-06 1.210147e-09 2.129376e-04 4.161693e+03
0.030475 1.896673e-06 1.216828e-09 2.133289e-04 4.157304e+03
0.029503 1.902225e-06 1.223542e-09 2.137207e-04 4.152924e+03
0.028532 1.907792e-06 1.230292e-09 2.141132e-04 4.148545e+03
0.027563 1.913375e-06 1.237072e-09 2.145057e-04 4.144175e+03
0.026594 1.919004e-06 1.243829e-09 2.148916e-04 4.139807e+03
0.025628 1.924646e-06 1.250619e-09 2.152781e-04 4.135446e+03
0.024662 1.930304e-06 1.257445e-09 2.156652e-04 4.131088e+03
0.023698 1.935978e-06 1.264308e-09 2.160531e-04 4.126731e+03
0.022735 1.941665e-06 1.271205e-09 2.164414e-04 4.122383e+03
0.021773 1.947368e-06 1.278138e-09 2.168304e-04 4.118036e+03
0.020813 1.953086e-06 1.285106e-09 2.172199e-04 4.113697e+03
0.019854 1.958819e-06 1.292111e-09 2.176101e-04 4.109360e+03
0.018896 1.964568e-06 1.299153e-09 2.180009e-04 4.105025e+03
0.017939 1.970408e-06 1.306311e-09 2.183954e-04 4.100698e+03
0.016984 1.976390e-06 1.313645e-09 2.187959e-04 4.096373e+03
0.016030 1.982388e-06 1.321016e-09 2.191969e-04 4.092056e+03
0.015077 1.988404e-06 1.328428e-09 2.195986e-04 4.087740e+03
0.014125 1.994436e-06 1.335880e-09 2.200011e-04 4.083427e+03
0.013175 2.000484e-06 1.343370e-09 2.204041e-04 4.079121e+03
0.012226 2.006550e-06 1.350902e-09 2.208078e-04 4.074817e+03
0.011278 2.012631e-06 1.358471e-09 2.212120e-04 4.070521e+03
0.010331 2.018729e-06 1.366083e-09 2.216169e-04 4.066227e+03
0.009386 2.024843e-06 1.373733e-09 2.220224e-04 4.061940e+03
0.008442 2.031200e-06 1.381706e-09 2.224407e-04 4.057655e+03
0.007499 2.037681e-06 1.389854e-09 2.228653e-04 4.053373e+03
0.006557 2.044180e-06 1.398047e-09 2.232905e-04 4.049097e+03
0.005617 2.050698e-06 1.406287e-09 2.237165e-04 4.044824e+03
0.004678 2.057234e-06 1.414572e-09 2.241430e-04 4.040558e+03
0.003740 2.063790e-06 1.422904e-09 2.245704e-04 4.036295e+03
0.002803 2.070366e-06 1.431284e-09 2.249986e-04 4.032033e+03
0.001867 2.076960e-06 1.439711e-09 2.254275e-04 4.027778e+03
0.000933 2.083571e-06 1.448181e-09 2.258567e-04 4.023526e+03
